rotten_tomatoes_link,review_content,movie_title,genre_list
m/1144029-appleseed,The film let's us know early on that its cyberdrama will be served cold.,Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,So much to work with and all of it tossed in favor of banal platitudes and a star-crossed romance with all the tension of an oil-change and all the gravitas of an Archie comic,Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,"For all the movie's impressive figure and facial modeling, as well as the superfluid humanoid motion, any depth is purely an illusion.",Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,"The supposedly human face of our metal-plated robocop's partner -- the inevitable curvy female in a leather jump suit -- is an inexpressive, glossy doll mask, untouched by human hands.",Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,"Even in a cartoon this technically astounding, most of the characters appear to have sprung from the DNA of Astro Boy.",Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,A visual marvel.,Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,"Dazzling visually but is flattened by corny dialogue better suited to the 1936 Flash Gordon serial, a needlessly hard to follow plot and heavy-handed exposition clotted with pseudo-scientific mumbo jumbo.",Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,Has a plot that frolics in the no-man's land between fiendish complexity and utter incomprehensibility.,Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,"Despite swaths of verbal exposition and a tendency to overdose on robot action sequences, the film has enough originality to interest demanding fans of the genre.",Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,The bizarre gulf between the realism of the backgrounds and the stylization of the characters undermines a story line about a conspiracy to rid Utopia of 'bio-roids.',Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,The spectacle of the Appleseed anime characters performing Matrix gymnastics proves to be less than awe-inspiring.,Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,"In the clash of 2-D and 3-D images, Appleseed emerges as the cracked-voiced, pasty-faced example of computer animation's clumsy adolescence.",Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,"With so much going on in every frame, Appleseed is one of those anime projects that shouts you to sleep.",Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,"There's a little too much talking and not as many battle scenes as we would've liked, but Appleseed is still a decent pick.",Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
m/1144029-appleseed,"Unfortunately, the story is painfully recycled, heavily indebted to Blade Runner (1982), along with healthy dollops of Beauty and the Beast, Isaac Asimov's robot stories and the mythological echoes.",Appurushîdo (Appleseed),"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']"
