rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/1197696-fantastic_mr_fox,Fantastic Mr. Fox,James Rocchi,True,Certified-Fresh,Fresh,2009,"Cool, clever, crafty and delirious amounts of fun, ""Fantastic Mr. Fox"" is full of brilliant visual invention and silly slapstick while also having hip humor and sly smarts -- it's pure movie-going joy and a rare kind of pleasure.",male,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']","{'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.9799}",0.9799
m/cars_3,Cars 3,Richard Roeper,True,Fresh,Fresh,2017,"Cars 3 is a lovely, clever and entertaining generational tale with tons of heart, a simple and effective storyline, wonderful candy-colored visuals and winning voice work from the talented cast of returning regulars and welcome newcomers.",male,"['Animation', 'Comedy', 'Kids & Family']","{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.9781}",0.9781
m/abominable,Abominable,Josh Martin,False,Certified-Fresh,Fresh,2019,"Abominable isn't a transcendent animated journey, but it effectively hits a series of sweet notes, chugging right along and coasting off the beauty of its designs and the sheer cuteness of its main fantastical creation.",male,"['Action & Adventure', 'Animation', 'Comedy']","{'neg': 0.0, 'neu': 0.528, 'pos': 0.472, 'compound': 0.978}",0.978
m/big_hero_6,Big Hero 6,Danielle Riendeau,False,Certified-Fresh,Fresh,2017,"Big Hero 6 is clever, sweet and intensely likable, much like its band of heroes. I walked out of the theater happy and energized, and if the young families in my screening were any indication, just like a kid.",female,"['Animation', 'Kids & Family']","{'neg': 0.0, 'neu': 0.524, 'pos': 0.476, 'compound': 0.9762}",0.9762
m/beauty_and_the_beast_1991,Beauty and the Beast,Diva Velez,False,Certified-Fresh,Fresh,2012,"One of the brightest jewels in Disney's crown, Beauty and the Beast's 3D reissue takes nothing away and makes the film's brilliance even easier to appreciate; the movie is more beautiful and timeless than it ever was.",female,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.9761}",0.9761
m/charlottes_web,Charlotte's Web,MaryAnn Johanson,False,Certified-Fresh,Fresh,2006,"Happy happy, joy joy... This is a wonder of gentle humor, tender sentiment, and uplifting philosophy about the joys of friendship, the marvels of nature, the circle of life.",unknown,"['Animation', 'Drama', 'Kids & Family']","{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.9758}",0.9758
m/battle_for_terra_2009,Battle For Terra,Brian Orndorf,False,Rotten,Fresh,2009,"It may not possess the budget to overtake animation titans Pixar and Dreamworks, but Terra has a rich sense of purpose and intelligence, carried out by talented filmmakers and their clear adoration for the medium.",male,"['Action & Adventure', 'Animation', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.9757}",0.9757
m/charlottes_web,Charlotte's Web,Carla Meyer,False,Certified-Fresh,Fresh,2006,"Charlotte's Web gives E.B. White's classic tale a spiffy cinematic update but leaves its core values intact. Visually accomplished and heartfelt, this G-rated gem is radiant, terrific and really some film.",female,"['Animation', 'Drama', 'Kids & Family']","{'neg': 0.0, 'neu': 0.514, 'pos': 0.486, 'compound': 0.974}",0.974
m/1019187-sleeping_beauty,Sleeping Beauty,Jeff Beck,False,Certified-Fresh,Fresh,2014,"Sleeping Beauty is a masterpiece that looks and sounds better than ever on Blu-ray, and with an outstanding selection of fascinating special features, this is a release that is easily labeled a must-own.",male,"['Animation', 'Classics', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.9732}",0.9732
m/charlie_brown_thanksgiving,A Charlie Brown Thanksgiving,Michael Walsh,False,Fresh,Fresh,2018,"The Great Pumpkin may be infinitely memorable, but the Thanksgiving special has a better story and themes more meaningful for the holiday it is celebrating.",male,"['Animation', 'Drama', 'Kids & Family']","{'neg': 0.0, 'neu': 0.451, 'pos': 0.549, 'compound': 0.9717}",0.9717
m/big_hero_6,Big Hero 6,Debbie Lynn Elias,False,Certified-Fresh,Fresh,2019,"Soaring with action, adventure, charm, heart, soul and a whole lot of fun - not to mention Baymax, one of the most adorable heroes ever... Big Hero 6 is the new big screen hero!",female,"['Animation', 'Kids & Family']","{'neg': 0.0, 'neu': 0.512, 'pos': 0.488, 'compound': 0.9715}",0.9715
m/beauty_and_the_beast_1991,Beauty and the Beast,Steven D. Greydanus,False,Certified-Fresh,Fresh,2010,"At the intersection of great animated films, great filmed stage musicals, and great fairy-tale romances, Disney's Beauty and the Beast stands alone ... the quintessential Disney masterpiece.",male,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.045, 'neu': 0.449, 'pos': 0.506, 'compound': 0.9702}",0.9702
m/astro_boy,Astro Boy (AstroBoy),Diva Velez,False,Rotten,Fresh,2009,"Astro Boy stands on its own as a nifty piece of animated fun, full of good lessons, brisk pacing and humour and sweetness the original anime sometimes lacked. It does Osamu Tezuka's source creation proud.",female,"['Action & Adventure', 'Animation', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.9694}",0.9694
m/arthur_christmas,Arthur Christmas,Olly Richards,False,Certified-Fresh,Fresh,2011,"A great, big joy. Even if you're a bit bah humbug, just delight in the supremely clever Aardman comedy.",mostly_female,"['Animation', 'Comedy', 'Kids & Family']","{'neg': 0.0, 'neu': 0.344, 'pos': 0.656, 'compound': 0.9682}",0.9682
m/1196003-princess_and_the_frog,The Princess and the Frog,Tom Huddleston,True,Certified-Fresh,Fresh,2010,"Randy Newman's songs are a little too blandly Randy Newman-ish and the story is uneven, but there are some great characters, some even better jokes, a general sense of good humour and that entrancing, eye-ravishing old-school animation.",male,"['Animation', 'Comedy', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.9682}",0.9682
m/beauty_and_the_beast_1991,Beauty and the Beast,William Arnold,False,Certified-Fresh,Fresh,2002,"The classic story of a bewitched prince who can only be saved by true love works as a wonderful genre romance, and the characters are uniformly imaginative and charming.",male,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.501, 'pos': 0.499, 'compound': 0.9678}",0.9678
m/a_cat_in_paris,A Cat in Paris,Matthew Turner,False,Certified-Fresh,Fresh,2012,"Beautifully animated and gorgeously designed, this is a hugely enjoyable and deservedly Oscar nominated French adventure with an emotionally engaging central story, delightful characters and a terrific score.",male,"['Animation', 'Art House & International', 'Comedy', 'Kids & Family', 'Mystery & Suspense']","{'neg': 0.0, 'neu': 0.466, 'pos': 0.534, 'compound': 0.9674}",0.9674
