rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/1007745-four_feathers,The Four Feathers,Bob Bloom,False,Fresh,Fresh,2004,"One of the great adventure films of all times, with Clements doing his best stiff upper lip heroics to redeem himself in the eyes of his friends and the girl he loves. Richardson is wonderful and touching as the officer gone blind whose honor and compassi",male,"['Action & Adventure', 'Art House & International', 'Classics']","{'neg': 0.04, 'neu': 0.549, 'pos': 0.411, 'compound': 0.9776}",0.9776
m/byzantium_2012,Byzantium,Bernard Boo,False,Fresh,Fresh,2019,"What resonates most about Byzantium aren't its flaws, but its truly remarkable strengths-the themes of identity and trust; the richly textured, alluring imagery; the brilliantly acted relationships.",male,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.9765}",0.9765
m/1012506-little_romance,A Little Romance,Frank Rich,True,Fresh,Fresh,2015,"The film's portrait of young love may be touching, but its most moving moments celebrate love of a different kind: the passion that movie professionals, both young and old, have for their craft.",male,"['Art House & International', 'Comedy', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.546, 'pos': 0.454, 'compound': 0.9762}",0.9762
m/1108624-road_home,The Road Home (Wo de fu qin mu qin),Duane Dudek,False,Certified-Fresh,Fresh,2001,"The pace makes the lawn tractor journey in David Lynch's The Straight Story seem like Driven, but patient viewers will find in its glorious stillness an impeccably composed and passionate tale of love and devotion.",male,"['Art House & International', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.9761}",0.9761
m/amour_2013,Amour,Lisa Kennedy,True,Certified-Fresh,Fresh,2013,"As remarkable as Haneke's films are, not a one has been as transcendently generous as Amour, which is nominated for five Academy Awards, including best picture, best director and best foreign-language film.",female,"['Art House & International', 'Drama']","{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.9735}",0.9735
m/1012672-look_back_in_anger,Look Back in Anger,MFB Critics,False,Fresh,Fresh,2016,"Richard Burton's playing is forcefully intelligent, Claire Bloom's unexpectedly sharp-edged, and Gary Raymond's easily relaxed. All in all, from ""the best young play of its generation"" has invigoratingly come the best young film of our generation.",unknown,"['Art House & International', 'Classics', 'Drama']","{'neg': 0.0, 'neu': 0.536, 'pos': 0.464, 'compound': 0.9726}",0.9726
m/alan_partridge,Alan Partridge,Matthew Turner,False,Certified-Fresh,Fresh,2013,"Alan Partridge makes a successful transition to the big screen in this hugely enjoyable comedy, thanks to impressive direction, superb comic performances and a witty script that stays true to the character throughout.",male,"['Art House & International', 'Comedy']","{'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.9724}",0.9724
m/blancanieves,Blancanieves,Robbie Collin,True,Certified-Fresh,Fresh,2013,"Will amuse and delight anyone who enjoys the Snow White story but always felt it needed more bullfighting. Happily, it will amuse and delight almost everyone else into the bargain.",male,"['Art House & International', 'Drama']","{'neg': 0.0, 'neu': 0.501, 'pos': 0.499, 'compound': 0.9715}",0.9715
m/a_very_long_engagement_2004,A Very Long Engagement,John Venable,False,Certified-Fresh,Fresh,2004,"Fits together almost too perfectly, but you'll be able to forgive that. It's a wonderful film that is absolutely beautiful. Cheers to cinematographer Bruno Delbonnel!",male,"['Art House & International', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.477, 'pos': 0.523, 'compound': 0.9713}",0.9713
m/back_girl_1966,Black Girl (La noire de...),Jeffrey M. Anderson,False,Fresh,Fresh,2017,"Running only 65 minutes the movie is compact, but extremely potent; Sembene's simple camera setups articulate great poetry. It's a movie of dashed hopes and unexpected beauties, and it's a masterpiece.",male,"['Art House & International', 'Drama']","{'neg': 0.0, 'neu': 0.561, 'pos': 0.439, 'compound': 0.9705}",0.9705
