rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/being_elmo_a_puppeteers_journey,Being Elmo: A Puppeteer's Journey,Marsha Lederman,True,Certified-Fresh,Fresh,2012,"[Clash is] portrayed as a mild-mannered, kind, giving, supremely talented soul, with a deep love for the puppet he animates and the children who love him.",female,"['Documentary', 'Television']","{'neg': 0.0, 'neu': 0.459, 'pos': 0.541, 'compound': 0.969}",0.969
m/61,61*,Phil Gallo,True,Fresh,Fresh,2010,"While the script has its fair share of treacly moments intended to manipulate viewers into caring deeply for this duo, Billy Crystal's dream project about his beloved Yankees and one of their great chapters gets a heroic treatment in 61*.",male,"['Drama', 'Television']","{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.9623}",0.9623
m/behind_the_candelabra,Behind the Candelabra,Henry Fitzherbert,False,Certified-Fresh,Fresh,2013,"It's a cautionary tale but not a preachy one, told with affection and sympathy courtesy of Richard LaGravenese's intelligent, humorous and concise screenplay.",male,"['Drama', 'Television']","{'neg': 0.0, 'neu': 0.464, 'pos': 0.536, 'compound': 0.9612}",0.9612
m/1017962-rudolph_the_rednosed_reindeer,Rudolph the Red-Nosed Reindeer,Ethan Lewis,False,Fresh,Fresh,2018,The characters in this Christmas special really make it... Rudolph and Hermey are wonderful examples of lovable misfits. And the wonderful thing about this special is that neither of these characters changes to fit their surroundings.,male,"['Animation', 'Classics', 'Kids & Family', 'Television']","{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.9601}",0.9601
m/afghan_star,Afghan Star,Patrick Z. McGavin,False,Certified-Fresh,Fresh,2009,"Not a radical act of film-making and visually, it is far from an inspired piece of work - but it's a great example of a film where the strong content rules supreme.",male,"['Art House & International', 'Documentary', 'Musical & Performing Arts', 'Special Interest', 'Television']","{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.959}",0.959
m/1013035-magic_flute,The Magic Flute (Trollflöjten),Roger Ebert,True,Fresh,Fresh,2018,"Ingmar Bergman has never before made a movie so warm, happy and innocent... It's as if all this joy has been building up inside him during the great decade of metaphysical films beginning with Persona.",male,"['Art House & International', 'Comedy', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Television', 'Romance']","{'neg': 0.0, 'neu': 0.666, 'pos': 0.334, 'compound': 0.9439}",0.9439
m/1146572-honeymooners,The Honeymooners,Ted Fry,True,Rotten,Fresh,2005,"Cedric the Entertainer comes close to sharing Gleason's gift for, well, entertaining. He's the biggest reason this version of The Honeymooners is such an amusing surprise.",male,"['Comedy', 'Drama', 'Television']","{'neg': 0.0, 'neu': 0.514, 'pos': 0.486, 'compound': 0.9432}",0.9432
m/1013035-magic_flute,The Magic Flute (Trollflöjten),Ted Prigge,False,Fresh,Fresh,2000,"This film is stunning to look at, with wonderful sets, interesting costumes, and yet another work of gorgeous cinematography by Bergman fave, Sven Nykvist.",male,"['Art House & International', 'Comedy', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Television', 'Romance']","{'neg': 0.0, 'neu': 0.544, 'pos': 0.456, 'compound': 0.9423}",0.9423
m/blank-city,Blank City,Jim Slotek,False,Certified-Fresh,Fresh,2011,There's no denying that the decaying New York of the late-'70s/early-'80s was a fascinating proving ground for starving artists. And Blank City is great arty eye candy. But you'll appreciate it best if the skinny-tie years were indeed your glory days.,male,"['Documentary', 'Musical & Performing Arts', 'Television']","{'neg': 0.124, 'neu': 0.544, 'pos': 0.332, 'compound': 0.9418}",0.9418
m/being_elmo_a_puppeteers_journey,Being Elmo: A Puppeteer's Journey,Moira MacDonald,True,Certified-Fresh,Fresh,2011,"""Kevin comes alive through Elmo,"" says Clash's mother in the film, and it's true. Watching him manipulate the puppet for adoring children, a kindness and joy shines through.",female,"['Documentary', 'Television']","{'neg': 0.0, 'neu': 0.582, 'pos': 0.418, 'compound': 0.9413}",0.9413
m/best_worst_movie,Best Worst Movie,Jeffrey M. Anderson,False,Certified-Fresh,Fresh,2010,"It's cheerful and ready to have a good time, and it's blessed with some truly unique characters.",male,"['Comedy', 'Documentary', 'Television']","{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.9403}",0.9403
m/best_worst_movie,Best Worst Movie,Jeff Vice,False,Certified-Fresh,Fresh,2010,Best Worst Movie might not be the best movie ever made about a bad movie. But it's still a pretty good and pretty fun one.,male,"['Comedy', 'Documentary', 'Television']","{'neg': 0.168, 'neu': 0.362, 'pos': 0.47, 'compound': 0.9384}",0.9384
m/being_elmo_a_puppeteers_journey,Being Elmo: A Puppeteer's Journey,Dan Fienberg,False,Certified-Fresh,Fresh,2011,"People love Elmo, but it's also pretty clear that ""Being Elmo: A Puppeteer's Journey"" is a documentary that plays well to a crowd on its own.",male,"['Documentary', 'Television']","{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.9377}",0.9377
m/a_walk_into_the_sea_danny_williams_and_the_warhol_factory,A Walk Into the Sea: Danny Williams and the Warhol Factory,David Jenkins,True,Fresh,Fresh,2008,"First-time director Esther Robinson proves that a dash of subjectivity in documentary isn't always a bad thing, showing a remarkable clarity of vision and thirst for knowledge in her superb 'A Walk Into the Sea: Danny Williams and the Warhol Factory'.",male,"['Documentary', 'Musical & Performing Arts', 'Television']","{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.9354}",0.9354
m/casting_by,Casting By,David Noh,False,Fresh,Fresh,2013,Delicious insider tales of the making of some of your favorite films enrich this wonderfully informative and entertaining doc about casting directors.,male,"['Documentary', 'Special Interest', 'Television']","{'neg': 0.0, 'neu': 0.559, 'pos': 0.441, 'compound': 0.9352}",0.9352
