rotten_tomatoes_link,review_content,movie_title,genre_list
m/1000079-20000_leagues_under_the_sea,[The] embodiment of Disney at his best -- family entertainment that superbly uses brand-new wonders of film technology.,"20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"Thrill-freighted are the underwater action sequences, topped by a tensely exciting battle with a giant squid...","20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,One of Disney's finest live-action family-flick adventures.,"20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,better than the ride at Disney!,"20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,One of the all-time great fantasy-adventure films.,"20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"Squid battle aside, though, 20,000 Leagues doesn't give us much more pioneering footage, and that doesn't take place until the very end. The rest of the film -- in retrospect -- is just waiting for the finale.","20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"The talky 20,000 Leagues probably won't thrill kids fresh from The Matrix, but they may be interested to know that the Verne film was the effects marvel of its day.","20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,...a vision of beauty and excitement for the eye and ear. It's still fun to watch after all these years.,"20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues is a sublime story of isolation, of disparate masculine seclusion, akin to those found in such films as Jaws and The Thing.","20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"As fabulous and fantastic as anything he has ever done in cartoons is Walt Disney's 'live action' movie made from Jules Verne's 20,000 Leagues Under the Sea.","20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"This is one of the great movie adventures, fully deserving its canonisation in Disney World.","20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"This is one of Disney's best, and one of the all-time adventure greats. And that, I swear by my tattoo.","20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"Walt Disney's production of 20000 Leagues under the Sea is very special kind of picture, combining photographic ingenuity, imaginative story telling and fiscal daring.","20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,One of the best Disney live action films and a classic fantasy-adventure.,"20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,Grandly entertaining.,"20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"Far superior to the majority of genre efforts from the period (or any period, for that matter), with production design and technical effects that have dated hardly at all.","20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"A breathtaking piece of entertainment, 20,000 Leagues Under the Sea is amongst the finest live-action films to come out of Disney Studios.","20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"James Mason's portrayal of Captain Nemo is a hard-edged, dramatic performance, with no winking nods or cartoonish layers. You could transport Mason whole into a much darker movie with R-rated violence, and he would fit like a glove.","20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,A classic action-adventure for older kids.,"20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,Bring on the David Fincher-helmed remake.,"20,000 Leagues Under The Sea","['Action & Adventure', 'Drama', 'Kids & Family']"
