rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/1004141-christmas_in_connecticut,Christmas in Connecticut,Rachel Wagner,False,Fresh,Fresh,2019,It's nothing that's going to change your life or anything but if you want a pleasant and romantic comedy that has some good laughs and some good chemistry it's a... really entertaining little Christmas movie.,female,"['Classics', 'Comedy']","{'neg': 0.0, 'neu': 0.473, 'pos': 0.527, 'compound': 0.9834}",0.9834
m/1005875-dinner_at_eight,Dinner at Eight,Ken Hanke,False,Fresh,Fresh,2003,"Feels like a very good, very entertaining movie, but Grand Hotel feels like something truly special. However, the good in Dinner at Eight is very good indeed.",male,"['Classics', 'Comedy', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.367, 'pos': 0.633, 'compound': 0.9823}",0.9823
m/1007745-four_feathers,The Four Feathers,Bob Bloom,False,Fresh,Fresh,2004,"One of the great adventure films of all times, with Clements doing his best stiff upper lip heroics to redeem himself in the eyes of his friends and the girl he loves. Richardson is wonderful and touching as the officer gone blind whose honor and compassi",male,"['Action & Adventure', 'Art House & International', 'Classics']","{'neg': 0.04, 'neu': 0.549, 'pos': 0.411, 'compound': 0.9776}",0.9776
m/australia,Australia,Brett McCracken,False,Rotten,Fresh,2008,"It's an ode to a place (exotic to some, familiar to others), yes, but more than that, Australia is state of mind: wonderment, grandeur, beauty, love, escape, hope.",male,"['Action & Adventure', 'Classics', 'Mystery & Suspense', 'Romance']","{'neg': 0.0, 'neu': 0.474, 'pos': 0.526, 'compound': 0.976}",0.976
m/1019187-sleeping_beauty,Sleeping Beauty,Jeff Beck,False,Certified-Fresh,Fresh,2014,"Sleeping Beauty is a masterpiece that looks and sounds better than ever on Blu-ray, and with an outstanding selection of fascinating special features, this is a release that is easily labeled a must-own.",male,"['Animation', 'Classics', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.9732}",0.9732
m/1012672-look_back_in_anger,Look Back in Anger,MFB Critics,False,Fresh,Fresh,2016,"Richard Burton's playing is forcefully intelligent, Claire Bloom's unexpectedly sharp-edged, and Gary Raymond's easily relaxed. All in all, from ""the best young play of its generation"" has invigoratingly come the best young film of our generation.",unknown,"['Art House & International', 'Classics', 'Drama']","{'neg': 0.0, 'neu': 0.536, 'pos': 0.464, 'compound': 0.9726}",0.9726
m/bringing_up_baby,Bringing Up Baby,Bob Bloom,False,Certified-Fresh,Fresh,2004,One of the great screwball comedies of all time; wonderful patter; delightful performances by Hepburn and Grant. A true timeless winner.,male,"['Classics', 'Comedy', 'Romance']","{'neg': 0.033, 'neu': 0.328, 'pos': 0.639, 'compound': 0.9726}",0.9726
m/1003707-casablanca,Casablanca,TV Guide Staff,False,Certified-Fresh,Fresh,2000,"More an icon than a work of art, Casablanca is still thoroughly entertaining romantic melodrama, flawlessly directed, subtly played, lovingly evoking our collective daydreams about lost chances and lost loves and love versus honor.",unknown,"['Classics', 'Drama', 'Romance']","{'neg': 0.085, 'neu': 0.407, 'pos': 0.508, 'compound': 0.9715}",0.9715
m/1016819-producers,The Producers,Bob Bloom,False,Certified-Fresh,Fresh,2003,"Great, great, great! ""Springtime for Hitler,"" one of the funniest sequences ever put on film! Wilder is great, Mostel, a force of nature. Always fresh, no matter how often you see it.",male,"['Classics', 'Comedy']","{'neg': 0.045, 'neu': 0.468, 'pos': 0.488, 'compound': 0.9712}",0.9712
m/australia,Australia,Betty Jo Tucker,False,Rotten,Fresh,2008,"'Australia' runs out of steam along its lengthy journey, but it boasts gorgeous cinematography, a passionate romance, and more than a few thrilling scenes.",female,"['Action & Adventure', 'Classics', 'Mystery & Suspense', 'Romance']","{'neg': 0.0, 'neu': 0.479, 'pos': 0.521, 'compound': 0.9703}",0.9703
m/a_room_with_a_view_1985,A Room With a View,Dan Jardine,False,Fresh,Fresh,2000,"This is a complete movie, full of life, love and hope. While we may occasionally forget that truth is beauty and beauty truth, thankfully films like A Room With a View will always be there as a reminder.",male,"['Art House & International', 'Classics', 'Comedy', 'Drama', 'Romance']","{'neg': 0.032, 'neu': 0.493, 'pos': 0.475, 'compound': 0.97}",0.97
m/1001634-bang_the_drum_slowly,Bang The Drum Slowly,Richard Schickel,True,Fresh,Fresh,2008,"A funny, gentle and honestly sentimental movie that is easily one of the best of the year in any category, and very possibly the best movie about sport ever made in this country.",male,"['Classics', 'Comedy', 'Drama', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.9678}",0.9678
m/alexander,Alexander,Michael Szymanski,False,Rotten,Fresh,2004,"If you like good war films, if you like good history epics, if you like good romances and good stories with great performances, then this film won't disappoint.",male,"['Action & Adventure', 'Classics', 'Drama']","{'neg': 0.08, 'neu': 0.349, 'pos': 0.57, 'compound': 0.9677}",0.9677
m/birth_of_a_nation,The Birth of a Nation,Variety Staff,True,Fresh,Fresh,2008,"Birth of a Nation is a great epoch in picture making; it's great for pictures and it's great for the name and fame of David Wark Griffith. When a man like Griffith in a new field can do what he has done, he may as well be hailed while he is living.",unknown,"['Classics', 'Drama']","{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.967}",0.967
m/alice_doesnt_live_here_anymore,Alice Doesn't Live Here Anymore,Donald McLean,False,Fresh,Fresh,2019,"Once in a very great while comes along a film that is so perfectly made a critic throws pad and pencil to the wind and tends to find himself frothing with glee and writing things like ""One of the year's best"" and ""Not to be missed!""",male,"['Classics', 'Drama']","{'neg': 0.039, 'neu': 0.613, 'pos': 0.347, 'compound': 0.9665}",0.9665
m/1067234-boomerang,Boomerang!,Jack Moffitt,False,Fresh,Fresh,2020,"The picture is a masterpiece of suspense. Dana Andrews gives another fine performance as the ethical prosecutor. Arthur Kennedy is excellent as the prisoner. Lee J. Cobb is splendid as an honest cop, and Sam Levene does outstanding work as a reporter.",male,"['Classics', 'Drama', 'Mystery & Suspense']","{'neg': 0.059, 'neu': 0.538, 'pos': 0.403, 'compound': 0.9661}",0.9661
m/bringing_up_baby,Bringing Up Baby,Steven D. Greydanus,False,Certified-Fresh,Fresh,2003,"The zaniest, most delightful screwball comedy of them all Hepburn at her effervescent best and Grant in a marvelous performance combining stuffiness and injured dignity with his usual debonair charm.",male,"['Classics', 'Comedy', 'Romance']","{'neg': 0.087, 'neu': 0.397, 'pos': 0.515, 'compound': 0.966}",0.966
m/barry_lyndon,Barry Lyndon,Bob Bloom,False,Certified-Fresh,Fresh,2003,Sure it is slow; but it rolls over you and mesmerizes you; a wonderfully photographed effort with a great soundtrack; one of O'Neal's best performances.,male,"['Classics', 'Drama']","{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.9659}",0.9659
m/1041070-hallelujah,Hallelujah,John E. Prowd,False,Fresh,Fresh,2019,It is good! And Mr. King Vidor and the M. G. M. Studios are to be commended for their courage in affording BLACK TALENT an opportunity to portray its ability before a misinformed public in HALLELUJAH!,male,"['Classics', 'Drama', 'Musical & Performing Arts']","{'neg': 0.049, 'neu': 0.514, 'pos': 0.437, 'compound': 0.9655}",0.9655
