rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/13th_warrior,The 13th Warrior,William Arnold,False,Rotten,Fresh,2000,"Banderas creates a sympathetic hero, the script is remarkably free of '90-isms, the Viking characters are engaging, and The 13th Warrior offers some of the rousing retro pleasures of a good '50s cavalry - and - Indians B-movie.",male,"['Action & Adventure', 'Cult Movies', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.565, 'pos': 0.435, 'compound': 0.9628}",0.9628
m/beatles_the_yellow_submarine,Yellow Submarine,Richard Harrington,True,Certified-Fresh,Fresh,2000,"Almost 20 years after its release, this charming fable chronicling the Beatles' battles to save Pepperland from the Blue Meanies is one of the best testaments ever to the redeeming value of good music.",male,"['Action & Adventure', 'Animation', 'Comedy', 'Cult Movies', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy']","{'neg': 0.054, 'neu': 0.586, 'pos': 0.36, 'compound': 0.9393}",0.9393
m/1021067-terror,Tales of Terror,Matt Brunson,False,Fresh,Fresh,2015,"""The Black Cat"" is the best story in the trilogy, a humorous tale that benefits from some unique technical tricks, a nifty twist ending and especially a wonderful performance by Peter Lorre.",male,"['Classics', 'Comedy', 'Cult Movies', 'Horror', 'Mystery & Suspense']","{'neg': 0.037, 'neu': 0.567, 'pos': 0.396, 'compound': 0.9392}",0.9392
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,Jeffrey M. Anderson,False,Certified-Fresh,Fresh,2004,"As directed by Jack Arnold, the film suffers from silly stretches of dialogue and wooden acting, but the underwater footage is still beautiful, and Adams radiates a strong, sexy screen presence.",male,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']","{'neg': 0.048, 'neu': 0.588, 'pos': 0.364, 'compound': 0.9371}",0.9371
m/badlands,Badlands,Anne Brodie,False,Certified-Fresh,Fresh,2019,"Malick's love and respect for the natural world as it frames and moves characters is palpable and on full display, the film heightened by superb performances and Malick's incredible direction.",female,"['Action & Adventure', 'Classics', 'Cult Movies', 'Drama', 'Mystery & Suspense']","{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.9313}",0.9313
m/boy_and_his_dog,A Boy and His Dog,Dragan Antulov,False,Fresh,Fresh,2000,"Those who are patient and forgiving enough are going to be awarded with good acting, sharp dialogue and effective black humour.",male,"['Comedy', 'Cult Movies', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.521, 'pos': 0.479, 'compound': 0.9287}",0.9287
m/1008588-gone_in_60_seconds,Gone in 60 Seconds,Sean Axmaker,False,Rotten,Fresh,2016,"... perhaps the ultimate drive-in car chase movie. If that sounds like a backhanded compliment, then you don't know the sheer visceral thrill of a great tire squealing, chassis-slamming, speed demon piece of auto outlaw cinema.",male,"['Action & Adventure', 'Cult Movies', 'Drama', 'Mystery & Suspense']","{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.9042}",0.9042
m/beatles_the_yellow_submarine,Yellow Submarine,Neely Swanson,False,Certified-Fresh,Fresh,2018,"Even if it was originally intended for adolescent and post adolescent Beatles fans, it should still be a marvelous experience for children with its bright colors, flowing movement, and wonderful music.",unknown,"['Action & Adventure', 'Animation', 'Comedy', 'Cult Movies', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.8885}",0.8885
m/at_the_earths_core,At the Earth's Core,Mike Massie,False,Rotten,Fresh,2020,"Boasting mediocre acting, some surprisingly entertaining monsters, and unintentionally hilarious fantasy adventure, it's likely the most well balanced of Connor's early films.",male,"['Action & Adventure', 'Art House & International', 'Cult Movies', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.8883}",0.8883
m/beatles_the_yellow_submarine,Yellow Submarine,Matt Brunson,False,Certified-Fresh,Fresh,2012,"An outrageously inventive piece of eye-popping pop, it still qualifies as one of the greatest animated movies ever made. (It also landed in the number 11 spot on Creative Loafing's own list of The 20 Greatest Rock Films Ever Made.)",male,"['Action & Adventure', 'Animation', 'Comedy', 'Cult Movies', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy']","{'neg': 0.044, 'neu': 0.703, 'pos': 0.253, 'compound': 0.886}",0.886
m/13th_warrior,The 13th Warrior,Lisa Schwarzbaum,True,Rotten,Fresh,2000,"The most unexpectedly audacious, exhilarating, and wildly creative adventure thriller I have seen in ages!",female,"['Action & Adventure', 'Cult Movies', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.428, 'pos': 0.572, 'compound': 0.876}",0.876
m/badlands,Badlands,Bernard Drew,False,Certified-Fresh,Fresh,2019,"Everyone concerned with Badlands has my admiration -- Martin Sheen and Sissy Spacek... Warren Oates as her father; and all of the less familiar actors but most of all, Terrence Malick, who wrote and directed Badlands. It is clearly his triumph.",male,"['Action & Adventure', 'Classics', 'Cult Movies', 'Drama', 'Mystery & Suspense']","{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.8735}",0.8735
