rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/a_simple_favor,A Simple Favor,MaryAnn Johanson,False,Certified-Fresh,Fresh,2018,"Witty, tense, and thrilling, but also cheerful, escapist, and fun, this is a perfect cinematic cozy mystery, kept on an even keel by the irresistibly charming Anna Kendrick. Merrily absurd pure entertainment.",unknown,['Mystery & Suspense'],"{'neg': 0.031, 'neu': 0.422, 'pos': 0.547, 'compound': 0.985}",0.985
m/american_made_2017,American Made,Louise Keller,False,Certified-Fresh,Fresh,2017,"Superb storytelling, tense action, wonderful use of music, a lively sense of fun and Tom Cruise at his very best in a tale that is - well - extraordinary. In short, it's great entertainment.",female,"['Action & Adventure', 'Drama', 'Mystery & Suspense']","{'neg': 0.047, 'neu': 0.413, 'pos': 0.54, 'compound': 0.9778}",0.9778
m/a_simple_favor,A Simple Favor,Tim Stevens,False,Certified-Fresh,Fresh,2018,"[Simple Favor] goes down super easy. There is plenty of craft to examine and admire if you dig deep. It has great energy, it is often genuinely funny, and both Lively and Kendrick are wonderful.",male,['Mystery & Suspense'],"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.9766}",0.9766
m/byzantium_2012,Byzantium,Bernard Boo,False,Fresh,Fresh,2019,"What resonates most about Byzantium aren't its flaws, but its truly remarkable strengths-the themes of identity and trust; the richly textured, alluring imagery; the brilliantly acted relationships.",male,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.9765}",0.9765
m/captain_america_the_first_avenger,Captain America: The First Avenger,Johnny Gayzmonic,False,Certified-Fresh,Fresh,2018,"Nothing less than an action-packed good time with a great cast, a great lead, a great score and great action sequences. In case you haven't guessed by now, it's great.",male,"['Action & Adventure', 'Mystery & Suspense']","{'neg': 0.0, 'neu': 0.473, 'pos': 0.527, 'compound': 0.9761}",0.9761
m/australia,Australia,Brett McCracken,False,Rotten,Fresh,2008,"It's an ode to a place (exotic to some, familiar to others), yes, but more than that, Australia is state of mind: wonderment, grandeur, beauty, love, escape, hope.",male,"['Action & Adventure', 'Classics', 'Mystery & Suspense', 'Romance']","{'neg': 0.0, 'neu': 0.474, 'pos': 0.526, 'compound': 0.976}",0.976
m/2_days_in_the_valley,2 Days in the Valley,Urban Cinefile Critics,False,Rotten,Fresh,2000,"Not everyone will get this film, but for those who appreciate the delectable rewards of black comedy, this is an encounter with substantial rewards.",male,"['Comedy', 'Drama', 'Mystery & Suspense']","{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.974}",0.974
m/1031086-ghost,Ghost,Film4 Staff,False,Certified-Fresh,Fresh,2013,"A perfect balance of laughs and tears, a sparklingly funny script and a clever fantasy about ghostly goings on make this a superior blockbuster romance.",unknown,"['Comedy', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.048, 'neu': 0.331, 'pos': 0.621, 'compound': 0.9736}",0.9736
m/all_is_lost_2013,All Is Lost,Jim Schembri,False,Certified-Fresh,Fresh,2014,"Superb, a brilliantly conceived, first-person masterpiece, totally immersive and compelling from first frame to last. It's easily one of the best survival films ever made, even with Gravity dominating everybody's praise.",male,"['Action & Adventure', 'Mystery & Suspense']","{'neg': 0.045, 'neu': 0.451, 'pos': 0.504, 'compound': 0.9731}",0.9731
m/argo_2012,Argo,Ian Buckwalter,False,Certified-Fresh,Fresh,2012,"Easily Affleck's best directed film yet, Argo also ticks off a number of boxes on the Best Picture nominee checklist: grand scope, historical basis, uplifting story of human triumph. The movie's great escape sequence goes a little overboard,though.",male,"['Drama', 'Mystery & Suspense']","{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.9719}",0.9719
