rotten_tomatoes_link,review_content,movie_title,genre_list
m/10002635-bridge_of_san_luis_rey,Pedestrian...a high-minded snoozer studded with stars who all seem almost perversely miscast and directed in a grimly deliberate style designed to italicize every point.,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"Even though director-adaptor Mary McGuckian expended much creative energy trying to pump original spirit into the characters, she never brings any of them to life.",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,None of the performances work.,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"Unlike the bridge, the movie unravels at a very slow pace.",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"The stellar cast can do little to paper over the cracks in an awkward, unevenly-paced script that is composed of a series of sometimes-attractive scenes with little emotional undertow.",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"Visually sumptuous but dramatically muddled and confusing, The Bridge of San Luis Rey ultimately comes across as a soporific costume drama featuring a gallery of miscast stars.",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"Whatever the intentions of novelist and filmmaker, having the audience root for the bridge probably wasn't one of them.",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"Though handsomely mounted, this parable of intersecting destinies and implacable tragedy is as lifeless as a wax tableau.",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey raises an important philosophical question: Is it better to fall to one's death from a rickety rope bridge overlooking a deep gorge or watch this miserable movie about several people sharing that awful fate?,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,An endless powdered-wigs-and-feathered-pen slog.,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,So dully written and executed that you'll be wishing the production had collapsed instead of the swaying bridge of San Luis Rey.,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,The Viceroy states that they are 'surrounded by an ocean of boredom' - then you realize you're swimming in it.,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"How bad could a movie be that features talent as serious as Robert De Niro, Kathy Bates, Gabriel Byrne, Harvey Keitel, F. Murray Abraham and Geraldine Chaplin? That bad, alas.",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,An honorable but dull attempt to translate a neglected literary source to the screen.,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"Audiences may wonder why a picture with Robert De Niro, Kathy Bates and Harvey Keitel would be so bereft of hype. After you've endured the film, all 120 airless minutes, you'll understand the rationale behind the quiet release.",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"As a director, McGuckian is overwhelmed by the immensity of her cast, and her misguided attempt to make a Hollywood epic on a European production budget.",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"It is an intense philosophical undertaking that examines questions of faith, fate and chance.",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,Best characterized as an honourable folly.,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,A wobbly Bridge. Impressive cast can't save terrible script.,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,the worst film of the year... a fraud of the highest order,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,leaves audience with the same unanswered question as the one asked by its narrator,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"How to turn an embarrassment of riches into an embarrassment, period.",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,"Why do good actors pop up in bad movies? More perplexingly, why do so many good actors end up in the same bad movie?",The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey is a beautiful movie. The film's shooting locations are exquisite. The sets are stunning. The costumes are gorgeous. The actors are superlative. Too bad the movie sucks.,The Bridge of San Luis Rey,"['Art House & International', 'Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,... a sincerely (if not exactly subtly) performed spiritual drama with a faith-based lesson in humility and the practical charity of offering a helping hand.,The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,"Startlingly direct, if unavoidably preachy, The Second Chance takes aim at Christianity's racial divide and the corporatization of faith.",The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,"Sure, there are lots of positive messages about following your calling and seeing how others live, but that message would better resonate with the audience if the story wasn't so bland.",The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,"There are a lot of good messages in The Second Chance about how Christianity is a mix of love, both gentle and tough.",The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,"It is earnest, cliched, often awkward and unlikely to inspire anyone who isn't already thoroughly sold on its message of salvation through community activism.",The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,"[The film is] designed to launch Christian pop singer Michael W. Smith as a movie brand name. It doesn't really succeed at that, but it does manage to send a positive message in a pretty polished movie, a message aimed at regular church-goers.",The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,"[The film is] sabotaged by hackneyed dialogue, sluggish pacing and a listless performance by Smith, who only springs to life when he's singing.",The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,"A movie-of-the-week treatment of race and class, the film credibly portrays the day-to-day workings of an urban ministry.",The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,It's not the message that bothered me but the obvious way in which it's delivered.,The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,Second Chance delivers its parable of spiritual growth with enough tender nuance that it doesn't merely preach to the choir.,The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,"As divided as the two very different churches at its center, The Second Chance reps an uneasy marriage of spiritual conviction and dramatic expedience.",The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,"This may be a church movie, but it's one of the better ones.",The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,"A modern morality play whose positive messages are undercut by its pandering, paternalistic tone.",The Second Chance,"['Drama', 'Faith & Spirituality']"
m/10006007-the_second_chance,The end result is that rare Christian film that garners a PG-13 rating for its realistic portrayals of violence and conflict.,The Second Chance,"['Drama', 'Faith & Spirituality']"
m/1010555-inherit_the_wind,"Inherit the Wind (1960) is an absorbing liberal ""message"" film that portrays, in partly fictionalized form, the famous and dramatic courtroom ""Monkey Trial"" battle (in the sultry summer of 1925 in Dayton, Tennessee)",Inherit the Wind,"['Classics', 'Drama', 'Faith & Spirituality']"
m/1010555-inherit_the_wind,Inherit the Wind is well crafted and can entertain even the most jaded of modern audiences.,Inherit the Wind,"['Classics', 'Drama', 'Faith & Spirituality']"
m/1010555-inherit_the_wind,"Producer-director Stanley Kramer ably handles the incendiary material visually, making good use of deep focus and careful compositions",Inherit the Wind,"['Classics', 'Drama', 'Faith & Spirituality']"
m/1010555-inherit_the_wind,"A most worthwhile film, if for no other reason, because it provides a great opportunity to watch Tracy and March go at it in a most entertaining fashion.",Inherit the Wind,"['Classics', 'Drama', 'Faith & Spirituality']"
m/1010555-inherit_the_wind,"Extraordinarly vivid, rich, and wise about the core questions of how we know and who we are.",Inherit the Wind,"['Classics', 'Drama', 'Faith & Spirituality']"
