rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/bedtime_stories,Bedtime Stories,James Rocchi,False,Rotten,Rotten,2008,"Bedtime Stories tries to be charming and whimsical, but while charm and whimsy, like love, can be helped by great sums of money, charm and whimsy, like love, cannot be created by great sums of money.",male,"['Action & Adventure', 'Comedy', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.031, 'neu': 0.372, 'pos': 0.596, 'compound': 0.9912}",0.9912
m/ant_man_and_the_wasp,Ant-Man and the Wasp,Eli Glasner,False,Certified-Fresh,Fresh,2018,"Great fun, a great cast overall...the best thing that Ant-Man and the Wasp delivers is fun. This is just antics, fun gags, all sorts of sides and shenanigans. The best stuff is bite-sized entertainment.",female,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.46, 'pos': 0.54, 'compound': 0.9839}",0.9839
m/1197696-fantastic_mr_fox,Fantastic Mr. Fox,James Rocchi,True,Certified-Fresh,Fresh,2009,"Cool, clever, crafty and delirious amounts of fun, ""Fantastic Mr. Fox"" is full of brilliant visual invention and silly slapstick while also having hip humor and sly smarts -- it's pure movie-going joy and a rare kind of pleasure.",male,"['Action & Adventure', 'Animation', 'Comedy', 'Kids & Family']","{'neg': 0.0, 'neu': 0.491, 'pos': 0.509, 'compound': 0.9799}",0.9799
m/12_strong,12 Strong,Andrea Thompson,False,Rotten,Rotten,2019,"12 Strong may not exactly be what we need, but it does seem to be what audiences desperately want. I just wish 12 Strong was brave enough to take a cue from the real-life heroes they're honoring and give us something better.",female,"['Action & Adventure', 'Drama']","{'neg': 0.054, 'neu': 0.489, 'pos': 0.457, 'compound': 0.9789}",0.9789
m/abominable,Abominable,Josh Martin,False,Certified-Fresh,Fresh,2019,"Abominable isn't a transcendent animated journey, but it effectively hits a series of sweet notes, chugging right along and coasting off the beauty of its designs and the sheer cuteness of its main fantastical creation.",male,"['Action & Adventure', 'Animation', 'Comedy']","{'neg': 0.0, 'neu': 0.528, 'pos': 0.472, 'compound': 0.978}",0.978
m/aladdin,Aladdin,Charlie Ridgely,False,Rotten,Fresh,2019,"Aladdin is certainly less than the sum of its parts, but the parts are all so fantastic that it doesn't always matter. This is a fun adventure and a great time. Not exactly a whole new world, but certainly one that I don't mind journeying to again.",mostly_male,"['Action & Adventure', 'Kids & Family', 'Science Fiction & Fantasy']","{'neg': 0.018, 'neu': 0.586, 'pos': 0.395, 'compound': 0.978}",0.978
m/american_made_2017,American Made,Louise Keller,False,Certified-Fresh,Fresh,2017,"Superb storytelling, tense action, wonderful use of music, a lively sense of fun and Tom Cruise at his very best in a tale that is - well - extraordinary. In short, it's great entertainment.",female,"['Action & Adventure', 'Drama', 'Mystery & Suspense']","{'neg': 0.047, 'neu': 0.413, 'pos': 0.54, 'compound': 0.9778}",0.9778
m/1007745-four_feathers,The Four Feathers,Bob Bloom,False,Fresh,Fresh,2004,"One of the great adventure films of all times, with Clements doing his best stiff upper lip heroics to redeem himself in the eyes of his friends and the girl he loves. Richardson is wonderful and touching as the officer gone blind whose honor and compassi",male,"['Action & Adventure', 'Art House & International', 'Classics']","{'neg': 0.04, 'neu': 0.549, 'pos': 0.411, 'compound': 0.9776}",0.9776
m/captain_marvel,Captain Marvel,Rob Dean,False,Certified-Fresh,Fresh,2019,"CAPTAIN MARVEL isn't bad but it isn't great. It has some excellent moments, terrific performances, and solid lines of dialogue...audiences should look forward to more adventures with Captain Marvel - but here's to hoping she soars better in those.",male,"['Action & Adventure', 'Science Fiction & Fantasy']","{'neg': 0.071, 'neu': 0.448, 'pos': 0.481, 'compound': 0.9767}",0.9767
m/bill_and_ted_face_the_music,Bill & Ted Face the Music,Carla Renata,False,Certified-Fresh,Rotten,2020,"Bill and Ted - Face The Music is corny and fun, but doesn't enhance this beloved franchise other than encouraging the world to be excellent. Sorry, I can't say the same for Keanu and Alex. Love them though.",female,"['Action & Adventure', 'Comedy', 'Science Fiction & Fantasy']","{'neg': 0.027, 'neu': 0.552, 'pos': 0.421, 'compound': 0.9763}",0.9763
