rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/black_nativity,Black Nativity,Rick Bentley,False,Rotten,Fresh,2013,Seeing Black Nativity is like an early Christmas gift. The best thing that to say about this powerful story brought to life by a first-rate cast is hallelujah.,male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.9505}",0.9505
m/black_nativity,Black Nativity,Brian Orndorf,False,Rotten,Fresh,2013,"Straightforward but convincing, Black Nativity is refreshingly restrained, making it a nice counterpoint to other, noisier holiday entertainment.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.473, 'pos': 0.527, 'compound': 0.9382}",0.9382
m/black_nativity,Black Nativity,Eric Henderson,False,Rotten,Rotten,2013,"For anyone who prefers their assertive homilies to crust over like a syrupy sweet, this loose adaptation of Langston Hughes's beloved holiday tradition will come on like a dream fulfilled.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.063, 'neu': 0.483, 'pos': 0.454, 'compound': 0.9346}",0.9346
m/black_nativity,Black Nativity,Stephen Whitty,True,Rotten,Rotten,2013,"The story has its origins in Hughes work, but it's been adapted, expanded and, well, heavily rewritten by director Kasi Lemmons, who apparently thought she could improve it. Yes, that's right. She thought she could improve Langston Hughes.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.9313}",0.9313
m/8-the-mormon-proposition,8: The Mormon Proposition,Kevin Thomas,True,Fresh,Fresh,2010,"As an exposé, there could hardly be a stronger case for ensuring and strengthening the separation of church and state -- or a stronger message to gay people as to the magnitude of the challenge to win equal rights.",male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.9192}",0.9192
m/bonhoeffer,Bonhoeffer,Dan Lybarger,False,Fresh,Fresh,2003,"It's easy to view Dietrich Bonhoeffer as both a hero and a martyr, and Martin Doblmeier's new documentary does nothing to dispel that image. Thankfully, the director examines his subject in a thorough and clear-headed manner that's worthy of the subject.",male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.9042}",0.9042
m/black_nativity,Black Nativity,Matt Zoller Seitz,True,Rotten,Fresh,2013,"Earnest, square and proudly evangelical, ""Black Nativity"" is so unusual that its rough aspects are easy to forgive.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.8979}",0.8979
m/1010555-inherit_the_wind,Inherit the Wind,Brian Webster,False,Fresh,Fresh,2002,"A most worthwhile film, if for no other reason, because it provides a great opportunity to watch Tracy and March go at it in a most entertaining fashion.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.063, 'neu': 0.572, 'pos': 0.365, 'compound': 0.8906}",0.8906
m/10006007-the_second_chance,The Second Chance,Chris Thilk,False,Rotten,Fresh,2006,"There are a lot of good messages in The Second Chance about how Christianity is a mix of love, both gentle and tough.",mostly_male,"['Drama', 'Faith & Spirituality']","{'neg': 0.051, 'neu': 0.542, 'pos': 0.407, 'compound': 0.8885}",0.8885
m/black_narcissus,Black Narcissus,Emanuel Levy,False,Fresh,Fresh,2005,"In a breakthrough role as the new nun, Deborah Kerr heads a superb cast, including Flora Robson and Jean Simmons, in one of the most stunning color films ever made, deservedly winning the Oscars for cinematography and art design.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.8858}",0.8858
m/1125461-luther,Luther,Louis B. Hobson,False,Rotten,Rotten,2004,"An effective history lesson, but not nearly riveting enough to be as entertaining as it is earnest.",male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.8847}",0.8847
m/8-the-mormon-proposition,8: The Mormon Proposition,Brent Simon,False,Fresh,Fresh,2010,The film's powerful correlative lesson? That citizen journalism will play an important role in outing big-money political players who would like to silently put their stamp on laws from the capitalistic safety of the shadows.,male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.8834}",0.8834
m/10006007-the_second_chance,The Second Chance,Sean Axmaker,False,Rotten,Rotten,2006,... a sincerely (if not exactly subtly) performed spiritual drama with a faith-based lesson in humility and the practical charity of offering a helping hand.,male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.614, 'pos': 0.386, 'compound': 0.8834}",0.8834
m/black_nativity,Black Nativity,Josh Terry,False,Rotten,Fresh,2017,"Even though Black Nativity feels a little cluttered early on, a strong third act leaves the audience with the clarity of a more satisfying high note (and I mean that literally; a cover of the Stevie Wonder classic ""As"" plays over the closing credits).",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.8832}",0.8832
m/black_nativity,Black Nativity,Geoff Berkshire,False,Rotten,Fresh,2013,Black Nativity is an earnest slice of uplifting holiday drama that benefits from a smartly chosen cast.,male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.8779}",0.8779
m/1170009-conversations_with_god,Conversations With God,Cherryl Dawson and Leigh Ann Palone,False,Rotten,Rotten,2006,"A conversation with God should be inspirational and moving, but this conversation loses some of the magnificence and glory when it's channeled through this very ordinary movie.",unknown,"['Drama', 'Faith & Spirituality']","{'neg': 0.08, 'neu': 0.568, 'pos': 0.353, 'compound': 0.8779}",0.8779
m/black_nativity,Black Nativity,Matt Pais,False,Rotten,Rotten,2013,"Like a made-for-TV holiday special, it's a hug from a stranger instead of a memorable night with the family.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.875}",0.875
m/1017021-quo_vadis,Quo Vadis?,John J. Puccio,False,Fresh,Fresh,2008,"It's heavy-handed, to be sure, but it's fun to watch, thanks to its pageantry and color.",male,"['Classics', 'Documentary', 'Drama', 'Special Interest', 'Romance', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.8735}",0.8735
m/black_nativity,Black Nativity,Randy Myers,True,Rotten,Fresh,2013,"It's a sweet-natured tale that goes down smoothly, and Lemmons (""Eve's Bayou"") has done an admirable job of putting a contemporary spin on the beloved Hughes seasonal favorite from the '60s.",mostly_male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.872}",0.872
m/black_narcissus,Black Narcissus,James Kendrick,False,Fresh,Fresh,2001,"While the thematic elements of desire and the constant battle between the spirit and the flesh are intricate elements of Black Narcissus, the film will probably be best remembered for its impressive visuals.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.06, 'neu': 0.626, 'pos': 0.313, 'compound': 0.872}",0.872
m/1010555-inherit_the_wind,Inherit the Wind,Dave Kehr,True,Fresh,Rotten,2007,"Spencer Tracy does his cuddly curmudgeon turn as Clarence Darrow; it's a lazy, vague performance, but its wit provides the only crack of light in the film's somber, gray overcast.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.6858}",-0.6858
m/bonhoeffer,Bonhoeffer,V.A. Musetto,True,Fresh,Rotten,2003,"The life of Dietrich Bonhoeffer, the pacifist theologian in Germany who spoke out openly and strongly against Hitler, would make one hell of a movie. Unfortunately, Martin Doblmeier's documentary Bonhoeffer isn't it.",unknown,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.189, 'neu': 0.755, 'pos': 0.057, 'compound': -0.7096}",-0.7096
m/amen,Amen,MaryAnn Johanson,False,Fresh,Fresh,2003,Turns an infuriating and frustrating predicament into a thriller of the conscience.,unknown,"['Art House & International', 'Drama', 'Faith & Spirituality']","{'neg': 0.401, 'neu': 0.51, 'pos': 0.089, 'compound': -0.7096}",-0.7096
m/black_nativity,Black Nativity,Tim Evans,False,Rotten,Fresh,2013,"There's no doubting the sincerity and there's little point in offering up cynical resistance to an all-singing, all-dancing, all-emoting gospel finale.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.7351}",-0.7351
m/10006007-the_second_chance,The Second Chance,Richard Propes,False,Rotten,Fresh,2020,The end result is that rare Christian film that garners a PG-13 rating for its realistic portrayals of violence and conflict.,male,"['Drama', 'Faith & Spirituality']","{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.7506}",-0.7506
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,Stephen Holden,True,Rotten,Rotten,2005,"How bad could a movie be that features talent as serious as Robert De Niro, Kathy Bates, Gabriel Byrne, Harvey Keitel, F. Murray Abraham and Geraldine Chaplin? That bad, alas.",male,"['Art House & International', 'Drama', 'Faith & Spirituality']","{'neg': 0.28, 'neu': 0.645, 'pos': 0.075, 'compound': -0.765}",-0.765
m/black_nativity,Black Nativity,Julian Lytle,False,Rotten,Rotten,2020,"To wrap up, Black Nativity isn't the best holiday film we have this season and probably won't clean up at the cinema because in the end it's just a quite average movie.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.7835}",-0.7835
m/black_narcissus,Black Narcissus,Thomas M. Pryor,True,Fresh,Fresh,2003,"While Messrs. Powell and Pressburger may have a picture that will disturb and antagonize some, they also have in Black Narcissus an artistic accomplishment of no small proportions.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.248, 'neu': 0.752, 'pos': 0.0, 'compound': -0.7845}",-0.7845
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,Ben Kenigsberg,True,Rotten,Rotten,2005,An honorable but dull attempt to translate a neglected literary source to the screen.,male,"['Art House & International', 'Drama', 'Faith & Spirituality']","{'neg': 0.4, 'neu': 0.49, 'pos': 0.11, 'compound': -0.7845}",-0.7845
m/augustine_2012,Augustine,Peter Keough,True,Fresh,Fresh,2013,"Winocour does not reduce her characters to caricatures, but depicts them as unwitting actors in the tragedy of a pathological society.",male,"['Art House & International', 'Documentary', 'Drama', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.243, 'neu': 0.757, 'pos': 0.0, 'compound': -0.7964}",-0.7964
m/1125461-luther,Luther,Jeffrey Westhoff,False,Rotten,Rotten,2003,Luther oversimplifies history. Saying indulgences caused the Protestant Reformation is like saying slavery caused the Civil War.,male,"['Drama', 'Faith & Spirituality']","{'neg': 0.344, 'neu': 0.514, 'pos': 0.142, 'compound': -0.7964}",-0.7964
m/1021015-ten_commandments,The Ten Commandments,Danielle Solzman,False,Fresh,Rotten,2020,The Ten Commandments may have been impressive for its time but the film horribly fails in its attempt to recreate the story of the Exodus.,female,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.256, 'neu': 0.678, 'pos': 0.066, 'compound': -0.7992}",-0.7992
m/amen,Amen,Prairie Miller,False,Fresh,Fresh,2003,"Costa-Gavras is no stranger to crafting daring movies about government repression and struggles against injustice, like State Of Siege and Missing.",unknown,"['Art House & International', 'Drama', 'Faith & Spirituality']","{'neg': 0.41, 'neu': 0.435, 'pos': 0.155, 'compound': -0.802}",-0.802
m/augustine_2012,Augustine,Prairie Miller,False,Fresh,Fresh,2013,"Deconstructs late 19th century forms of torture, sexual exploitation and degradation, the female body as theater, closet peep shows, and the medical practitioner fantasy of 'a slave looking for a master' that all defined psychiatry back then.",unknown,"['Art House & International', 'Documentary', 'Drama', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.177, 'neu': 0.823, 'pos': 0.0, 'compound': -0.8074}",-0.8074
m/1021015-ten_commandments,The Ten Commandments,Christopher Null,False,Fresh,Fresh,2004,"Heston may as well be screaming about Soylent Green, but damn if he doesn't make for one hell of an inspiring leader.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.346, 'neu': 0.5, 'pos': 0.154, 'compound': -0.8176}",-0.8176
m/8-the-mormon-proposition,8: The Mormon Proposition,Bruce Bennett,False,Fresh,Rotten,2012,This propaganda style doc is too busy evoking intolerance (ironically) and fear mongering to provoke any rational analysis of the facts.,male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.363, 'neu': 0.637, 'pos': 0.0, 'compound': -0.8271}",-0.8271
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,Chris Cabin,False,Rotten,Rotten,2005,the worst film of the year... a fraud of the highest order,mostly_male,"['Art House & International', 'Drama', 'Faith & Spirituality']","{'neg': 0.467, 'neu': 0.533, 'pos': 0.0, 'compound': -0.836}",-0.836
m/1170009-conversations_with_god,Conversations With God,Elizabeth Weitzman,True,Rotten,Rotten,2006,"One of Walsch's precepts is that you should never make a living doing something you hate. If I'd known that, I might not have felt obliged to sit through every excruciating minute of this sanctimonious infomercial.",female,"['Drama', 'Faith & Spirituality']","{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.8402}",-0.8402
m/1125461-luther,Luther,Frank Swietek,False,Rotten,Rotten,2003,"A sincere, well-meaning movie, but it's stilted and ponderous, all too representative of the worst failings of simplistic docudrama.",male,"['Drama', 'Faith & Spirituality']","{'neg': 0.371, 'neu': 0.56, 'pos': 0.069, 'compound': -0.8779}",-0.8779
m/8-the-mormon-proposition,8: The Mormon Proposition,Lisa Schwarzbaum,True,Fresh,Fresh,2010,[Cowan] expands his sad and furious homegrown film to record the misery of gay Mormons sometimes driven to suicide over being rejected by their church and families.,female,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.45, 'neu': 0.516, 'pos': 0.034, 'compound': -0.9578}",-0.9578
