rotten_tomatoes_link,review_content,movie_title,genre_list
m/1004047-children_of_the_corn,It just gets sillier and sillier with each passing year.,Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,"Not a whole lot happens, but horror fans will appreciate the atmosphere.",Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,"""plenty of corn, for sure, but no chills""",Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,Ooooooo... scary kids! Don't go into the cornfields alone after this one.,Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,"The only halfway decent installment of the entire bloated, pitiful franchise.",Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,"Grisly, occasionally effective horror flick.",Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,"If you need a laugh, come to Malachi!",Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,"As ye sow, so shall ye reap - and for all its initial creepiness, in the end this Mid-western gothic yields a big cropful of corn.",Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,incredibly boring from start to finish,Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,How Children of the Corn continues to be so successful and popular 25 years after its release still remains a mystery ....,Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,"It's a--look, it has to be said--corny ""B"" horror flick with a certain je ne sais WTF about it. [Blu-ray]",Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,its dated look reminds us that horror movies were once made with only a camera and buckets of Karo syrup; not marketable teen models and computer-generated effects.,Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,"Classic Stephen King horror, hardly popping.",Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,"Send it to the cornfield, Anthony. That's where it belongs, after all.",Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,The acting and special effects are particularly painful to watch.,Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004047-children_of_the_corn,This is not a story that was ever destined to work on film.,Children of the Corn,"['Cult Movies', 'Horror', 'Mystery & Suspense']"
m/1004906-creature_from_the_black_lagoon,A classic horror that warms the heart.,Creature from the Black Lagoon,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,[A] B movie classic.,Creature from the Black Lagoon,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,"The technical material is so good, in fact, that if you might actually like the movie... if you can ignore everything else.",Creature from the Black Lagoon,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,This is still a decent movie and a good example of the monster movie genre.,Creature from the Black Lagoon,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
m/1004906-creature_from_the_black_lagoon,Cool creature!,Creature from the Black Lagoon,"['Classics', 'Cult Movies', 'Horror', 'Science Fiction & Fantasy']"
