rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/black_nativity,Black Nativity,Rick Bentley,False,Rotten,Fresh,2013,Seeing Black Nativity is like an early Christmas gift. The best thing that to say about this powerful story brought to life by a first-rate cast is hallelujah.,male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.9505}",0.9505
m/black_nativity,Black Nativity,Brian Orndorf,False,Rotten,Fresh,2013,"Straightforward but convincing, Black Nativity is refreshingly restrained, making it a nice counterpoint to other, noisier holiday entertainment.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.473, 'pos': 0.527, 'compound': 0.9382}",0.9382
m/black_nativity,Black Nativity,Eric Henderson,False,Rotten,Rotten,2013,"For anyone who prefers their assertive homilies to crust over like a syrupy sweet, this loose adaptation of Langston Hughes's beloved holiday tradition will come on like a dream fulfilled.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.063, 'neu': 0.483, 'pos': 0.454, 'compound': 0.9346}",0.9346
m/black_nativity,Black Nativity,Stephen Whitty,True,Rotten,Rotten,2013,"The story has its origins in Hughes work, but it's been adapted, expanded and, well, heavily rewritten by director Kasi Lemmons, who apparently thought she could improve it. Yes, that's right. She thought she could improve Langston Hughes.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.9313}",0.9313
m/8-the-mormon-proposition,8: The Mormon Proposition,Kevin Thomas,True,Fresh,Fresh,2010,"As an exposé, there could hardly be a stronger case for ensuring and strengthening the separation of church and state -- or a stronger message to gay people as to the magnitude of the challenge to win equal rights.",male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.9192}",0.9192
m/bonhoeffer,Bonhoeffer,Dan Lybarger,False,Fresh,Fresh,2003,"It's easy to view Dietrich Bonhoeffer as both a hero and a martyr, and Martin Doblmeier's new documentary does nothing to dispel that image. Thankfully, the director examines his subject in a thorough and clear-headed manner that's worthy of the subject.",male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.9042}",0.9042
m/black_nativity,Black Nativity,Matt Zoller Seitz,True,Rotten,Fresh,2013,"Earnest, square and proudly evangelical, ""Black Nativity"" is so unusual that its rough aspects are easy to forgive.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.8979}",0.8979
m/1010555-inherit_the_wind,Inherit the Wind,Brian Webster,False,Fresh,Fresh,2002,"A most worthwhile film, if for no other reason, because it provides a great opportunity to watch Tracy and March go at it in a most entertaining fashion.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.063, 'neu': 0.572, 'pos': 0.365, 'compound': 0.8906}",0.8906
m/10006007-the_second_chance,The Second Chance,Chris Thilk,False,Rotten,Fresh,2006,"There are a lot of good messages in The Second Chance about how Christianity is a mix of love, both gentle and tough.",mostly_male,"['Drama', 'Faith & Spirituality']","{'neg': 0.051, 'neu': 0.542, 'pos': 0.407, 'compound': 0.8885}",0.8885
m/black_narcissus,Black Narcissus,Emanuel Levy,False,Fresh,Fresh,2005,"In a breakthrough role as the new nun, Deborah Kerr heads a superb cast, including Flora Robson and Jean Simmons, in one of the most stunning color films ever made, deservedly winning the Oscars for cinematography and art design.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.8858}",0.8858
m/1125461-luther,Luther,Louis B. Hobson,False,Rotten,Rotten,2004,"An effective history lesson, but not nearly riveting enough to be as entertaining as it is earnest.",male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.8847}",0.8847
m/8-the-mormon-proposition,8: The Mormon Proposition,Brent Simon,False,Fresh,Fresh,2010,The film's powerful correlative lesson? That citizen journalism will play an important role in outing big-money political players who would like to silently put their stamp on laws from the capitalistic safety of the shadows.,male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.8834}",0.8834
m/10006007-the_second_chance,The Second Chance,Sean Axmaker,False,Rotten,Rotten,2006,... a sincerely (if not exactly subtly) performed spiritual drama with a faith-based lesson in humility and the practical charity of offering a helping hand.,male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.614, 'pos': 0.386, 'compound': 0.8834}",0.8834
m/black_nativity,Black Nativity,Josh Terry,False,Rotten,Fresh,2017,"Even though Black Nativity feels a little cluttered early on, a strong third act leaves the audience with the clarity of a more satisfying high note (and I mean that literally; a cover of the Stevie Wonder classic ""As"" plays over the closing credits).",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.8832}",0.8832
m/black_nativity,Black Nativity,Geoff Berkshire,False,Rotten,Fresh,2013,Black Nativity is an earnest slice of uplifting holiday drama that benefits from a smartly chosen cast.,male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.8779}",0.8779
m/1170009-conversations_with_god,Conversations With God,Cherryl Dawson and Leigh Ann Palone,False,Rotten,Rotten,2006,"A conversation with God should be inspirational and moving, but this conversation loses some of the magnificence and glory when it's channeled through this very ordinary movie.",unknown,"['Drama', 'Faith & Spirituality']","{'neg': 0.08, 'neu': 0.568, 'pos': 0.353, 'compound': 0.8779}",0.8779
m/black_nativity,Black Nativity,Matt Pais,False,Rotten,Rotten,2013,"Like a made-for-TV holiday special, it's a hug from a stranger instead of a memorable night with the family.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.875}",0.875
m/1017021-quo_vadis,Quo Vadis?,John J. Puccio,False,Fresh,Fresh,2008,"It's heavy-handed, to be sure, but it's fun to watch, thanks to its pageantry and color.",male,"['Classics', 'Documentary', 'Drama', 'Special Interest', 'Romance', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.8735}",0.8735
m/black_nativity,Black Nativity,Randy Myers,True,Rotten,Fresh,2013,"It's a sweet-natured tale that goes down smoothly, and Lemmons (""Eve's Bayou"") has done an admirable job of putting a contemporary spin on the beloved Hughes seasonal favorite from the '60s.",mostly_male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.872}",0.872
m/black_narcissus,Black Narcissus,James Kendrick,False,Fresh,Fresh,2001,"While the thematic elements of desire and the constant battle between the spirit and the flesh are intricate elements of Black Narcissus, the film will probably be best remembered for its impressive visuals.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.06, 'neu': 0.626, 'pos': 0.313, 'compound': 0.872}",0.872
m/bonhoeffer,Bonhoeffer,Kevin Thomas,True,Fresh,Fresh,2003,A heroic odyssey that is illuminated with admirable clarity.,male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.336, 'pos': 0.664, 'compound': 0.872}",0.872
m/act_of_god,Act of God,Liz Braun,False,Fresh,Fresh,2009,"Act of God fearlessly approaches the natural and the supernatural, and the result is visceral, intellectual, heartbreaking, delightful and instructive, all at once.",female,"['Art House & International', 'Documentary', 'Faith & Spirituality']","{'neg': 0.089, 'neu': 0.503, 'pos': 0.408, 'compound': 0.8689}",0.8689
m/1194589-heart_of_the_beholder,Heart of the Beholder,Dragan Antulov,False,Fresh,Fresh,2005,HEART OF THE BEHOLDER succeeds in telling a compelling story in an entertaining and interesting way,male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.507, 'pos': 0.493, 'compound': 0.8658}",0.8658
m/black_nativity,Black Nativity,Lisa Kennedy,True,Rotten,Fresh,2013,"It's good to see Hudson in a major film again. As an actress, she's still a work in progress, but she has a commanding gift for depicting vulnerability and strength almost simultaneously.",female,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.061, 'neu': 0.626, 'pos': 0.313, 'compound': 0.8641}",0.8641
m/1010555-inherit_the_wind,Inherit the Wind,Clyde Gilmour,False,Fresh,Fresh,2019,"There are some weak and implausible scenes but the film has warmth and excitement, and both Tracy and March are in top form.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.062, 'neu': 0.604, 'pos': 0.334, 'compound': 0.8608}",0.8608
m/1170009-conversations_with_god,Conversations With God,Andy Webster,True,Rotten,Rotten,2007,"A coda after the closing credits, encouraging divine dialogues in general, does little to dispel the hagiographic aftertaste.",male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.596, 'pos': 0.404, 'compound': 0.8591}",0.8591
m/brother_sun_sister_moon,"Brother Sun, Sister Moon (Fratello sole, sorella luna)",Erich Kuersten,False,Rotten,Fresh,2004,"With its brilliant cinematography by Ennio Guarnieri and cast of pretty faces, the film is like a painting come to life.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.8591}",0.8591
m/1170009-conversations_with_god,Conversations With God,Shawn Levy,False,Rotten,Rotten,2006,"Simon has made a garish, lumpy, melodramatic and altogether unconvincing film about a man hitting bottom and then hearing a voice that helps him regain a place in the world (and a pretty rich place, at that).",mostly_male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.8555}",0.8555
m/brother_sun_sister_moon,"Brother Sun, Sister Moon (Fratello sole, sorella luna)",Mark R. Leeper,False,Rotten,Fresh,2004,"It is one of the most beautiful films I have ever seen. Just about any frame of the film, blown up, could make a beautiful poster for the film.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.855}",0.855
m/bonhoeffer,Bonhoeffer,Frank Swietek,False,Fresh,Fresh,2003,A solid and respectable piece about a man of enormous integrity and courage.,male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.405, 'pos': 0.595, 'compound': 0.8519}",0.8519
m/1021015-ten_commandments,The Ten Commandments,Kate Cameron,True,Fresh,Fresh,2014,"DeMille's direction of the action is superb and the various roles are played with feeling by a large and competent cast, headed by Charlton Heston.",female,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.66, 'pos': 0.34, 'compound': 0.8519}",0.8519
m/10006007-the_second_chance,The Second Chance,Roger Moore,True,Rotten,Rotten,2006,"[The film is] designed to launch Christian pop singer Michael W. Smith as a movie brand name. It doesn't really succeed at that, but it does manage to send a positive message in a pretty polished movie, a message aimed at regular church-goers.",male,"['Drama', 'Faith & Spirituality']","{'neg': 0.041, 'neu': 0.764, 'pos': 0.195, 'compound': 0.8511}",0.8511
m/black_nativity,Black Nativity,Cary Darling,True,Rotten,Fresh,2013,"It doesn't matter that not all of the songs are memorable or that the performances are of varying success, the warm-hearted Black Nativity feels tailor-made to fit with the good tidings of the season.",mostly_male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.027, 'neu': 0.747, 'pos': 0.227, 'compound': 0.8412}",0.8412
m/1021014-ten_commandments,The Ten Commandments,Austin Kennedy,False,Fresh,Fresh,2013,"This is light years better than the Heston version. The effects hold up better (parting of the read sea is awesome!), the acting is better and it's about an hour shorter.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.8398}",0.8398
m/black_nativity,Black Nativity,Neely Swanson,False,Rotten,Fresh,2017,"""Black Nativity,"" loosely based on a play by Langston Hughes, is brought beautifully to life by writer/director Kasi Lemmons, a true auteur in every sense of the word.",unknown,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.721, 'pos': 0.279, 'compound': 0.836}",0.836
m/bonhoeffer,Bonhoeffer,Jeffrey Overstreet,False,Fresh,Fresh,2006,"Today's church needs Bonhoeffer's example and teaching, and Doblmeier's project makes a worthy contribution to our understanding of this great man.",male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.8305}",0.8305
m/1125461-luther,Luther,Frederic and Mary Ann Brussat,False,Rotten,Fresh,2003,Luther presents a rich and dramatic portrayal of the great religious questions that came to define the Reformation as implemented and galvanized by this Catholic professor at Wittenberg.,male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.8271}",0.8271
m/8-the-mormon-proposition,8: The Mormon Proposition,Harvey S. Karten,False,Fresh,Fresh,2010,"A broadside against the Mormon Church for helping to pass California's anti-gay Proposition 8, though some levity would increase its entertainment value.",male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.8271}",0.8271
m/black_nativity,Black Nativity,Chris Nashawaty,True,Rotten,Rotten,2013,"Kasi Lemmons' Black Nativity is a lot like a glazed holiday ham: sticky, sweet, and all too easy to mess up.",mostly_male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.091, 'neu': 0.507, 'pos': 0.402, 'compound': 0.8225}",0.8225
m/augustine_2012,Augustine,Jamie S. Rich,False,Fresh,Fresh,2013,"Augustine's best when it focuses on the push-pull relationship of doctor and patient. SoKo is excellent as the troubled girl, inspiring both compassion and frustration.",mostly_female,"['Art House & International', 'Documentary', 'Drama', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.157, 'neu': 0.49, 'pos': 0.353, 'compound': 0.8225}",0.8225
m/1125461-luther,Luther,Linda Cook,False,Rotten,Fresh,2003,"Both as a veteran movie reviewer and long-time Lutheran, I left the theater with the feeling that ""Luther"" is a good movie about a great man.",female,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.8176}",0.8176
m/brother_sun_sister_moon,"Brother Sun, Sister Moon (Fratello sole, sorella luna)",Emanuel Levy,False,Rotten,Fresh,2012,"In Zeffirelli's visually beautiful tale, the hero is perceived as a prototype hippie, and so the music is by Donovan.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.8176}",0.8176
m/1170009-conversations_with_god,Conversations With God,Jason Anderson,True,Rotten,Rotten,2006,"Although Stephen Simon's film has the mawkish trappings of an inspirational tale, its unseemly emphasis on monetary matters makes Walsch seem less interested in the spiritual possibilities of his celestial networking skills than their financial benefits.",male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.813}",0.813
m/black_nativity,Black Nativity,Roger Moore,False,Rotten,Fresh,2013,"Corny, but well-acted -- with some players showing surprising singing chops -- and heartfelt.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.8126}",0.8126
m/1170009-conversations_with_god,Conversations With God,Jeff Shannon,True,Rotten,Rotten,2006,"Conversations with God is a bad film about good things that many people will find enlightening. Its message is admirable, its filmmaking as bland as a communion wafer.",male,"['Drama', 'Faith & Spirituality']","{'neg': 0.096, 'neu': 0.577, 'pos': 0.327, 'compound': 0.8126}",0.8126
m/10_questions_for_the_dalai_lama,10 Questions for the Dalai Lama,Jennie Punter,True,Fresh,Fresh,2007,10 Questions works extremely well as an introduction to the Dalai Lama and offers a tantalizing peek at the dynamic and even mischievous personality of this influential man.,female,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.811}",0.811
m/1170009-conversations_with_god,Conversations With God,Peter Debruge,True,Rotten,Rotten,2006,I don't doubt that Walsch's book has touched people. I don't even question whether he actually spoke to God. I just wish the movie itself shared some of his miraculous message with audiences.,male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.8079}",0.8079
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,Liam Lacey,True,Rotten,Rotten,2005,Best characterized as an honourable folly.,male,"['Art House & International', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.354, 'pos': 0.646, 'compound': 0.8074}",0.8074
m/ayurveda_the_art_of_being,Ayurveda: the Art of Being,Ray Conlogue,True,Rotten,Fresh,2003,"If Ayurveda can help us return to a sane regimen of eating, sleeping and stress-reducing contemplation, it is clearly a good thing.",mostly_male,"['Documentary', 'Drama', 'Special Interest', 'Faith & Spirituality', 'Sports & Fitness']","{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.8074}",0.8074
m/1170009-conversations_with_god,Conversations With God,John Monaghan,True,Rotten,Rotten,2006,"The movie claims the 'God inside me' concept is rooted in compassion, but it plays like nondenominational narcissism to me.",male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.8074}",0.8074
m/black_nativity,Black Nativity,Gary Wolcott,False,Rotten,Fresh,2013,Familiar and worn holiday story saved by most excellent music.,male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.124, 'neu': 0.339, 'pos': 0.537, 'compound': 0.807}",0.807
m/bonhoeffer,Bonhoeffer,Elvis Mitchell,True,Fresh,Fresh,2003,The film is far more successful when raising questions of spirituality and Christianity than when dealing with the subject at hand.,male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.807}",0.807
m/1170009-conversations_with_god,Conversations With God,Frank Scheck,True,Rotten,Rotten,2006,This film adaptation of Neale Donald Walsch's best-selling book series plays more like an infomercial than a thoughtful exploration of religious issues.,male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.807}",0.807
m/black_nativity,Black Nativity,Tim Robey,True,Rotten,Rotten,2013,"It's a misguided enterprise all round, and while it's perfectly possible to applaud everything the film wants to say, you find yourself cringing at the ways it's saying it.",male,"['Drama', 'Musical & Performing Arts', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.802}",0.802
m/augustine_2012,Augustine,Austin Kennedy,False,Fresh,Fresh,2013,"The stand out is French Pop star Soko as the title character, who gives an outstanding Oscar worthy performance!",male,"['Art House & International', 'Documentary', 'Drama', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.8016}",0.8016
m/1017021-quo_vadis,Quo Vadis?,Dennis Schwartz,False,Fresh,Rotten,2000,Peter Ustinov's delightful over-the-top prissy performance was fun to watch.,male,"['Classics', 'Documentary', 'Drama', 'Special Interest', 'Romance', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7964}",0.7964
m/10002635-bridge_of_san_luis_rey,The Bridge of San Luis Rey,Desson Thomson,True,Rotten,Rotten,2005,"Even though director-adaptor Mary McGuckian expended much creative energy trying to pump original spirit into the characters, she never brings any of them to life.",unknown,"['Art House & International', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.7906}",0.7906
m/bonhoeffer,Bonhoeffer,Keith Phipps,True,Fresh,Fresh,2004,"The documentary still works as an introduction to a thinker whose influence, as the passionate praise of Desmond Tutu attests, lasted far beyond his martyrdom.",male,"['Documentary', 'Special Interest', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.7906}",0.7906
m/brother_sun_sister_moon,"Brother Sun, Sister Moon (Fratello sole, sorella luna)",John A. Nesbit,False,Rotten,Rotten,2003,"beautiful and nicely framed photography from northern Italy...not enough to overcome an inane script, inept acting, and Donovan's syrupy music",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.7783}",0.7783
m/10006007-the_second_chance,The Second Chance,Stephen Becker,True,Rotten,Rotten,2006,"Sure, there are lots of positive messages about following your calling and seeing how others live, but that message would better resonate with the audience if the story wasn't so bland.",male,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.7783}",0.7783
m/1170009-conversations_with_god,Conversations With God,Kathy Cano Murillo,True,Rotten,Rotten,2006,"It's inspiring to see how Walsch conquered the odds, but at times Conversations With God feels like a subliminal advertisement for the book.",female,"['Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.7783}",0.7783
m/1010555-inherit_the_wind,Inherit the Wind,Nell Minow,False,Fresh,Fresh,2003,"Extraordinarly vivid, rich, and wise about the core questions of how we know and who we are.",female,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.7717}",0.7717
m/black_narcissus,Black Narcissus,Variety Staff,True,Fresh,Fresh,2009,"Production has gained much through being in color. The production and camerawork atone for minor lapses in the story, Jack Cardiff's photography being outstanding.",unknown,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.765}",0.765
m/black_narcissus,Black Narcissus,Basil Wright,False,Fresh,Fresh,2018,Designed and photographed with an almost breathtaking sense of beauty.,male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.551, 'pos': 0.449, 'compound': 0.7584}",0.7584
m/1011626-king_of_kings,King of Kings,Emanuel Levy,False,Fresh,Fresh,2011,"Nicholas Ray's biblical epic, toward the end of his career, is an intelligent film that finds the right balance between exteriors and interiors, stunning vistas and compelling characters.",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.7579}",0.7579
m/1021015-ten_commandments,The Ten Commandments,Leonard Maltin,False,Fresh,Fresh,2011,"It seems as if some films are perpetually being restored, with each new version touted as better than the last. That said, I can assure you that the new DVD and Blu-ray edition of...",male,"['Classics', 'Drama', 'Faith & Spirituality']","{'neg': 0.032, 'neu': 0.765, 'pos': 0.203, 'compound': 0.7579}",0.7579
