rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",Dragan Antulov,False,Fresh,Fresh,2000,[The] embodiment of Disney at his best -- family entertainment that superbly uses brand-new wonders of film technology.,male,"['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",Scott Weinberg,False,Fresh,Fresh,2002,One of Disney's finest live-action family-flick adventures.,male,"['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",Michael Szymanski,False,Fresh,Fresh,2002,better than the ride at Disney!,male,"['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",Marjorie Baumgarten,False,Fresh,Fresh,2003,One of the all-time great fantasy-adventure films.,female,"['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",Christopher Null,False,Fresh,Rotten,2003,"Squid battle aside, though, 20,000 Leagues doesn't give us much more pioneering footage, and that doesn't take place until the very end. The rest of the film -- in retrospect -- is just waiting for the finale.",male,"['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",Glenn Abel,True,Fresh,Fresh,2003,"The talky 20,000 Leagues probably won't thrill kids fresh from The Matrix, but they may be interested to know that the Verne film was the effects marvel of its day.",male,"['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",John J. Puccio,False,Fresh,Fresh,2003,...a vision of beauty and excitement for the eye and ear. It's still fun to watch after all these years.,male,"['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",Rumsey Taylor,False,Fresh,Fresh,2003,"20,000 Leagues is a sublime story of isolation, of disparate masculine seclusion, akin to those found in such films as Jaws and The Thing.",unknown,"['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",Bosley Crowther,True,Fresh,Fresh,2006,"As fabulous and fantastic as anything he has ever done in cartoons is Walt Disney's 'live action' movie made from Jules Verne's 20,000 Leagues Under the Sea.",unknown,"['Action & Adventure', 'Drama', 'Kids & Family']"
m/1000079-20000_leagues_under_the_sea,"20,000 Leagues Under The Sea",Geoff Andrew,True,Fresh,Fresh,2006,"This is one of the great movie adventures, fully deserving its canonisation in Disney World.",male,"['Action & Adventure', 'Drama', 'Kids & Family']"
