rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/across_the_universe,Across the Universe,Matthew Turner,False,Rotten,Fresh,2007,"Julie Taymor's love-it-or-hate-it musical is hugely ambitious but it works brilliantly, thanks to strong performances, a fantastic script, terrifically integrated songs and Taymor's inspired direction.",male,"['Musical & Performing Arts', 'Romance']","{'neg': 0.0, 'neu': 0.372, 'pos': 0.628, 'compound': 0.9845}",0.9845
m/1005875-dinner_at_eight,Dinner at Eight,Ken Hanke,False,Fresh,Fresh,2003,"Feels like a very good, very entertaining movie, but Grand Hotel feels like something truly special. However, the good in Dinner at Eight is very good indeed.",male,"['Classics', 'Comedy', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.367, 'pos': 0.633, 'compound': 0.9823}",0.9823
m/500_days_of_summer,500 Days of Summer,Robbie Collin,False,Certified-Fresh,Fresh,2009,"Sparklingly funny, beautifully heartfelt, wonderfully uplifting and brilliantly performed. In short, it's the best romantic film since . . . well, what exactly?",male,"['Comedy', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.308, 'pos': 0.692, 'compound': 0.9799}",0.9799
m/before_midnight_2013,Before Midnight,Guy Lodge,False,Certified-Fresh,Fresh,2013,"A bit tarter than its predecessors, but not skimping on their woozy, chatty charm, this perfectly played, gently incisive film is a welcome new chapter in one of cinema's most beguiling ongoing romances.",male,"['Drama', 'Romance']","{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.9798}",0.9798
m/about_a_boy,About a Boy,David Poland,False,Certified-Fresh,Fresh,2002,"About A Boy is a great love story... love of parent to child and child to parent, love of self, the platonic love of someone you never saw coming and ultimately, the love you thought you could never have and would never want, which changes you forever.",male,"['Comedy', 'Drama', 'Romance']","{'neg': 0.019, 'neu': 0.591, 'pos': 0.39, 'compound': 0.9796}",0.9796
m/1211619-remember_me,Remember Me,James Rocchi,True,Rotten,Rotten,2010,"""Remember Me"" is only slightly more than forgettable, but its good intentions and good performances can't make up for a central romance that feels more rushed than real thanks to the triumph of casting and celebrity over chemistry and charm.",male,"['Drama', 'Romance']","{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.978}",0.978
m/about_last_night_2014,About Last Night,Jason Zingale,False,Fresh,Fresh,2014,"[It's] typical rom-com fare, but it's a more enjoyable adaptation of the source material that's elevated by its smart direction, solid cast, and willingness to make sex and dating every bit as funny, charming, and sincere as it is in real life.",male,"['Comedy', 'Romance']","{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.9776}",0.9776
m/1012506-little_romance,A Little Romance,Frank Rich,True,Fresh,Fresh,2015,"The film's portrait of young love may be touching, but its most moving moments celebrate love of a different kind: the passion that movie professionals, both young and old, have for their craft.",male,"['Art House & International', 'Comedy', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.546, 'pos': 0.454, 'compound': 0.9762}",0.9762
m/1108624-road_home,The Road Home (Wo de fu qin mu qin),Duane Dudek,False,Certified-Fresh,Fresh,2001,"The pace makes the lawn tractor journey in David Lynch's The Straight Story seem like Driven, but patient viewers will find in its glorious stillness an impeccably composed and passionate tale of love and devotion.",male,"['Art House & International', 'Drama', 'Romance']","{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.9761}",0.9761
m/beauty_and_the_beast_1991,Beauty and the Beast,Diva Velez,False,Certified-Fresh,Fresh,2012,"One of the brightest jewels in Disney's crown, Beauty and the Beast's 3D reissue takes nothing away and makes the film's brilliance even easier to appreciate; the movie is more beautiful and timeless than it ever was.",female,"['Animation', 'Drama', 'Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']","{'neg': 0.0, 'neu': 0.552, 'pos': 0.448, 'compound': 0.9761}",0.9761
