rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list
m/10003437-deep_blue,Deep Blue,Laura Clifford,False,Fresh,Fresh,2003,"A nice piece of work, but unfortunately it smacks of bandwagon-jumping following the success of such docs as Winged Migration.",female,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Robin Clifford,False,Fresh,Fresh,2003,"...if you want to have a majestically scored, beautiful, often haunting look into an unknown world, and only have 90 minutes to spare, go see ""Deep Blue.""",mostly_male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Rich Cline,False,Fresh,Fresh,2004,The filmmakers startlingly bring to life the beauty and balance of nature.,mostly_male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Matthew Leyland,True,Fresh,Fresh,2004,"Taking us from God's-eye-views of the sparkling surface to the darkest depths, this ocean odyssey conveys a riveting sense of nature's infinite variety.",male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Nick De Semlyen,False,Fresh,Fresh,2004,"The big screen adds extra impact to inspiring images which capture all the brutality, camaraderie and absurdity of the ocean.",male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Rene Rodriguez,True,Fresh,Fresh,2005,"Practically every shot in Deep Blue offers some sort of remarkable, jaw-dropping sight.",male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Harvey S. Karten,False,Fresh,Fresh,2005,"Fish gotta swim, birds gotta fly: you'll see both, nicely choreographed.",male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Ed Gonzalez,False,Fresh,Rotten,2005,Mother Nature reveals herself not so much as an entity that needs to be preserved but an action director much fiercer than Michael Bay.,male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Daniel Eagan,False,Fresh,Fresh,2005,"If you see Deep Blue in theaters, it will be hard to resist seeking out the entire eight-part miniseries.",male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Ben Kenigsberg,True,Fresh,Rotten,2005,Those looking for a refresher course on the workings of the food chain should be in heaven. All others may yearn for a sushi break.,male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Kevin Crust,True,Fresh,Fresh,2005,"Numerous films have explored undersea life, but few as comprehensively and as consistently compelling as Deep Blue.",male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Chuck Wilson,False,Fresh,Fresh,2005,[A] meditative yet urgent documentary.,male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Frederic and Mary Ann Brussat,False,Fresh,Fresh,2005,Wide-ranging documentary on the mysteries and marvels of the ocean and the creatures that reside there.,male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Laura Kern,True,Fresh,Rotten,2005,Alternately mind-blowing and mind-numbing.,female,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,E! Staff,False,Fresh,Fresh,2005,"It's not always pretty, but it's a shining of example of nature at its most brutal and beautiful.",unknown,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Maitland McDonagh,False,Fresh,Fresh,2005,The film keeps facts and figures to a minimum and lets the breathtaking images (underscored by George Fenton's sometimes bombastic score) carry the show.,unknown,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Stephen Whitty,True,Fresh,Rotten,2005,"Deep Blue is a beautiful movie, nicely scored and elegantly shot. But it's all about as thrilling as a good aquarium.",male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Jami Bernard,True,Fresh,Rotten,2005,It's about half an hour too long and Pierce Brosnan's sonorous narration threatens to lull us to sleep on those rocking waves.,female,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,V.A. Musetto,True,Fresh,Rotten,2005,A beautiful but empty-headed documentary about the creatures that lurk in the sea.,unknown,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Bob Strauss,False,Fresh,Fresh,2005,"It may not actually be comprehensive, but it feels like Deep Blue touches on all the points worth knowing, and more just for fun.",male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Andy Klein,False,Fresh,Rotten,2005,...it reminded me very much of a lava lamp I had in college...,male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Brian Orndorf,False,Fresh,Fresh,2005,"Deep Blue isn't as fortunate with screen dimensions, but it works, if only because it's hard to deny the vast beauty and mysteries that lie in our abyssal oceans.",male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Owen Gleiberman,True,Fresh,Fresh,2005,"These iridescent oddities are pure science fiction, and they gave the grade-schooler in me a good 'Whoa!'",male,"['Documentary', 'Special Interest']"
m/10003437-deep_blue,Deep Blue,Desson Thomson,True,Fresh,Fresh,2005,This is as good a visual treat as you and your kids can expect.,unknown,"['Documentary', 'Special Interest']"
