rotten_tomatoes_link,movie_title,critic_name,top_critic,tomatometer_status,review_type,review_year,review_content,gender,genre_list,sentiment_scores,compound_score
m/batman_ninja,Batman Ninja,María Garduño,False,Fresh,Fresh,2018,"Overall, this is a film you should see for its outstanding visuals. Okazaki's character designs are simply astonishing, full of great moments of fun and action that will keep you hooked throughout the entirety of the film.",mostly_female,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Drama']","{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.9081}",0.9081
m/batman_ninja,Batman Ninja,James Whitbrook,False,Fresh,Fresh,2018,"In less loving hands it would be an unholy mess, but the passion behind the sheer audacity of what Batman Ninja lays down transforms it into an utterly joyful experience.",male,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Drama']","{'neg': 0.044, 'neu': 0.653, 'pos': 0.304, 'compound': 0.907}",0.907
m/batman_ninja,Batman Ninja,Renee Schonfeld,False,Fresh,Fresh,2018,Superb anime and an unprecedented time-travel adventure bring a new dimension to this iconic hero.,female,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Drama']","{'neg': 0.0, 'neu': 0.524, 'pos': 0.476, 'compound': 0.875}",0.875
m/batman_ninja,Batman Ninja,Jo-Anne Rowney,False,Fresh,Fresh,2018,"There's familiarity here, but there's a fresh feel the Japanese have brought to the film that, frankly, I'm quite happy for DC to keep.",unknown,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Drama']","{'neg': 0.0, 'neu': 0.713, 'pos': 0.287, 'compound': 0.8569}",0.8569
m/batman_ninja,Batman Ninja,William Evans,False,Fresh,Fresh,2018,"Fun often. Gorgeous, mostly. And absolutely directionless.",male,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Drama']","{'neg': 0.0, 'neu': 0.407, 'pos': 0.593, 'compound': 0.8074}",0.8074
m/1144029-appleseed,Appurushîdo (Appleseed),G. Allen Johnson,True,Rotten,Rotten,2005,"Yes, it looks good, but it doesn't come close to exploring the grand themes it has in mind, or to ascending anywhere near the landmarks of anime.",unknown,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.7783}",0.7783
m/batman_ninja,Batman Ninja,Julian Roman,False,Fresh,Fresh,2018,"Batman Ninja is absolutely gorgeous, perhaps the most artistic vision of the Caped Crusader yet. The execution of the plot is patchwork.",male,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Drama']","{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.763}",0.763
m/1144029-appleseed,Appurushîdo (Appleseed),Maitland McDonagh,True,Rotten,Fresh,2006,Shut your brain down for optimal viewing pleasure.,unknown,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.7351}",0.7351
m/batman_ninja,Batman Ninja,David Griffin,False,Fresh,Fresh,2018,"Batman Ninja takes everything great about the masked vigilante and twists it in a way we've never seen, creating a visual marvel unlike any other Batman animated movie before it.",male,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Drama']","{'neg': 0.056, 'neu': 0.74, 'pos': 0.204, 'compound': 0.7195}",0.7195
m/1144029-appleseed,Appurushîdo (Appleseed),Felix Vasquez Jr.,False,Rotten,Rotten,2009,I really wish I could have liked this more.,male,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.463, 'pos': 0.537, 'compound': 0.6997}",0.6997
m/1144029-appleseed,Appurushîdo (Appleseed),J. Hoberman,True,Rotten,Rotten,2005,"For all the movie's impressive figure and facial modeling, as well as the superfluid humanoid motion, any depth is purely an illusion.",unknown,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Art House & International', 'Science Fiction & Fantasy']","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.6597}",0.6597
m/batman_ninja,Batman Ninja,Felix Vasquez Jr.,False,Fresh,Fresh,2018,"While I probably won't see it again, I recommend it for folks looking for the Dark Knight kicking *** in a bold new setting.",male,"['Action & Adventure', 'Animation', 'Anime & Manga', 'Drama']","{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.6249}",0.6249
